South
1,Virginia,1438
16,UMBC,1420
8,Creighton,1166
9,Kansas St.,1243
5,Kentucky,1184
12,Davidson,1172
4,Arizona,1112
13,Buffalo,1138
6,Miami (FL),1274
11,Loyola Chicago,1260
3,Tennessee,1397
14,Wright St.,1460
7,Nevada,1305
10,Texas,1400
2,Cincinnati,1153
15,Georgia St.,1209
West
1,Xavier,1462
16,play in,x
8,Missouri,1281
9,Florida St.,1199
5,Ohio St.,1326
12,South Dakota St.,1377
4,Gonzaga,1211
13,NC Greensboro,1422
6,Houston,1222
11,San Diego State,1361
3,Michigan,1276
14,Montana,1285
7,Texas A&M,1401
10,Providence,1344
2,UNC,1314
15,Lipscomb,1252
East
1,Villanova,1437
16,play in,x
8,Virginia Tech,1439
9,Alabama,1104
5,West Virginia,1452
12,Murray St.,1293
4,Wichita St.,1455
13,Marshall,1267
6,Florida,1196
11,play in,x
3,Texas Tech,1403
14,S.F. Austin,1372
7,Arkansas,1116
10,Butler,1139
2,Purdue,1345
15,CSU Fullerton,1168
Midwest
1,Kansas,1242
16,Pennsylvania,1335
8,Seton Hall,1371
9,N.C. State,1301
5,Clemson,1155
12,New Mexico St.,1308
4,Auburn,1120
13,Charleston,1149
6,TCU,1395
11,play in,x
3,Michigan St.,1277
14,Bucknell,1137
7,Rhode Island,1348
10,Oklahoma,1328
2,Duke,1181
15,Iona,1233
