,season,season_elo,team_id
134286,2014,1304.72681592,1101
139681,2015,1188.25724834,1101
145038,2016,1206.14189815,1101
150369,2017,1216.29446547,1101
3606,1985,1407.62712749,1102
7453,1986,1353.39434321,1102
11349,1987,1367.845411,1102
15274,1988,1319.58449383,1102
19317,1989,1402.53947916,1102
23436,1990,1422.16071183,1102
27494,1991,1361.63520658,1102
31619,1992,1330.27922452,1102
35589,1993,1326.62465392,1102
39660,1994,1307.41421163,1102
43726,1995,1336.04798641,1102
47851,1996,1285.26126333,1102
51934,1997,1317.11107189,1102
56113,1998,1333.8266489,1102
60243,1999,1367.17381744,1102
64959,2000,1340.43619625,1102
69384,2001,1365.00422903,1102
73980,2002,1397.86724174,1102
78599,2003,1477.1397713,1102
83136,2004,1667.07949829,1102
87830,2005,1703.56668536,1102
92604,2006,1771.02199703,1102
97645,2007,1810.13314233,1102
102787,2008,1692.78721758,1102
108017,2009,1526.87304151,1102
113297,2010,1457.33999651,1102
118556,2011,1536.93628794,1102
123804,2012,1519.02419038,1102
129079,2013,1588.7582302,1102
134409,2014,1507.13683141,1102
139790,2015,1531.96130095,1102
145148,2016,1474.95920905,1102
150553,2017,1468.37148435,1102
3306,1985,1445.30602518,1103
7384,1986,1525.50173181,1103
11353,1987,1572.0891984,1103
15113,1988,1607.81837357,1103
19151,1989,1664.66501105,1103
23198,1990,1546.93776558,1103
27463,1991,1493.2031756,1103
31571,1992,1451.94887665,1103
35463,1993,1361.10229079,1103
39520,1994,1330.29339328,1103
43597,1995,1317.72155891,1103
47702,1996,1247.38747379,1103
51882,1997,1346.9025595,1103
56049,1998,1525.48943316,1103
60231,1999,1585.35838384,1103
64642,2000,1581.9571438,1103
69340,2001,1516.18679527,1103
73936,2002,1420.13993718,1103
78523,2003,1480.576261,1103
83079,2004,1479.46521124,1103
87845,2005,1586.98962183,1103
92636,2006,1673.01317239,1103
97696,2007,1752.62196439,1103
102856,2008,1712.44745546,1103
108099,2009,1680.31154102,1103
113370,2010,1668.80530737,1103
118604,2011,1650.47065958,1103
123873,2012,1669.16905447,1103
129178,2013,1745.69188801,1103
134534,2014,1657.77930463,1103
139849,2015,1624.14701023,1103
145261,2016,1664.35353975,1103
150657,2017,1673.57145314,1103
3708,1985,1639.37545682,1104
7494,1986,1709.32284027,1104
11426,1987,1819.27751815,1104
15303,1988,1635.97532226,1104
19420,1989,1744.44413191,1104
23463,1990,1798.15278552,1104
